,PERMNO,date,TICKER,COMNAM,CUSIP,HSICMG,HSICIG,PRC,RET,sprtrn
3870,10026,20190805,JJSF,J & J SNACK FOODS CORP,46603210,20.0,205.0,181.74001,-0.002086,-0.029778
3871,10026,20190806,JJSF,J & J SNACK FOODS CORP,46603210,20.0,205.0,182.07001,0.001816,0.013017
3872,10026,20190807,JJSF,J & J SNACK FOODS CORP,46603210,20.0,205.0,184.87000,0.015379,0.000767
3873,10026,20190808,JJSF,J & J SNACK FOODS CORP,46603210,20.0,205.0,186.14999,0.006924,0.018762
3874,10026,20190809,JJSF,J & J SNACK FOODS CORP,46603210,20.0,205.0,186.42999,0.001504,-0.006617
