PERMNO,PERMCO,HTICK,HTSYMBOL,CUSIP
10200,8135,RGEN,RGEN,75991610
10201,53455,,AT,04878Q86
10202,8137,,CWCC,14053010
10203,8138,,PSBN,72356K10
10204,8139,,UNTL,91325210
10205,8140,,LSBX,50215P10
10206,8141,,ESPC,28190020
10207,9806,FUND,FUND,85208J10
10208,8143,,ISTC,45778910
10209,22173,,,02399290
10210,8144,,FSBG,32019D10
10211,8145,,WES,95790710
10212,7278,,IFRA,45683430
10213,8146,,ATVC,03029010
10214,8147,,SIGN,72754010
10215,8052,,VVCOE,91288R10
10216,7183,,XCED,98160920
10217,22174,,,02437510
10218,109,,AFPC,00105810
10219,8148,,TLSS,87992210
10220,53456,BWXT,BWXT,05605H10
10221,8150,,IMSR,45244010
10222,8151,,FTTR,35832120
10223,53458,,CIS,13322V10
10224,7611,,SHIP,75884810
10225,20067,,BEAM,07373010
10226,22175,,,00108010
10227,8153,,KISC,49446810
10228,8154,,IFNDE,45867R10
10229,8155,,NACS,65679810
10230,8156,,ANDB,03425810
10231,8157,,CBNH,20363010
10232,8158,ESBK,ESBK,28966010
10233,22176,,,02473510
10234,118,,AGMN,00122010
10235,8159,,FOTO,71940B10
10236,8160,,WEBS,94780010
10237,8161,,SURG,46040710
10238,8164,,GLK,39091410
10239,714,,PTVCB,74368L20
10240,8167,,WOMN,97815810
10241,22177,,,74158710
10242,8168,,TRFI,89323N10
10243,8169,,AFED,04765910
10244,8170,,UDET,73154730
10245,8171,,SHLY,82282410
10246,8172,,MIDS,59543310
10247,8173,,GTOS,36473U20
10248,8174,,CIMC,17184210
10249,8175,,GIDE,84890710
10250,8176,,MRCO,58977440
10251,8178,,FLGF,33841310
10252,8179,INDB,INDB,45383610
10253,7922,DSS,DSS,26253C10
10254,8180,,STRL,85935910
10255,8182,,VERT,92532510
10256,8183,,MLOG,59507910
10257,8185,DLHC,DLHC,23335Q10
10258,8186,CLDX,CLDX,15117B20
10259,8187,,SIGM,82656510
10260,8188,,ASVD,01989310
10261,8189,,MTNR,62450910
10262,8190,,CSAI,19242810
10263,8192,,MRMK,59027010
10264,8191,,UNIV,91335410
10265,8193,,FMFS,30237210
10266,8194,,STLG,85890610
10267,8195,,NIEX,65336610
10268,22178,,,02523110
10269,6202,,AIAIQ,00132010
10270,8196,,SVCO,80516010
10271,8197,,MASB,57615210
10272,8198,,TKLC,87910110
10273,8199,,LDMK,51505210
10274,8200,,BETAC,08659210
10275,8201,,SNTK,81720930
10276,22179,,,02530310
10277,134,,,00136010
10278,8166,,,96290130
10279,8202,,GENI,37185510
10280,8203,,PRCME,74371810
10281,8204,,AUTOC,05277710
10282,8205,,BRDLQ,10709010
10283,8206,,APOP,03822420
10284,90,,,02581690
10285,5148,,,00142310
10286,8208,,PROS,74291850
10287,8209,,,00207510
10288,8210,,BEAR,07378610
10289,9134,,ANME,03475510
10290,8212,,HGIC,41282410
10291,8177,,FAMIC,30686010
10292,22181,,,02599090
10293,6069,,AINSE,00142510
10294,2089,HVTA,HVTA,41959620
10295,8215,,MEMB,59486110
10296,8216,,GSSC,39769910
10297,8217,,LSBG,51086610
10298,8218,,AQSIC,03838L10
10299,8220,,LLTC,53567810
10300,8219,,WCSI,98155610
10301,8221,,TLOGC,89365820
10302,8222,,CY,23280610
10303,8223,,PMCPE,74191010
10304,8224,,AMFI,02391210
10305,22182,,,02599290
10306,145,,,00144410
10307,8226,,MBSI,60040410
10308,8228,TMP,TMP,89011010
10309,8229,,SKAN,83050610
10310,8230,,TOUAE,98155H10
10311,8231,,ALLS,01990210
10312,8232,,PTHI,74057610
10313,22183,,,02686610
10314,255,,AMCI,00167410
10315,8233,,NVID,64121810
10316,8234,,CMPL,13325510
10317,8235,,SOUT,84415110
10318,8237,BCPC,BCPC,05766520
10319,8240,,FIBI,32054T10
10320,8239,,AMBIQ,02461810
10321,22184,,,02762710
10322,8241,,BFBS,11258710
10323,8242,,CADS,20485810
10324,8243,,GENZ,37291710
10325,8244,,CMAL,14871010
10326,8245,,NYTS,67077310
10327,8246,,USBA,91138F10
10328,8248,,SOMA,83444710
10329,8250,,SWAL,85765740
10330,8249,,MOVYQ,64881910
10331,8251,,TOWR,89176610
10332,8252,,CANA,30241W10
10333,8254,XOMA,XOMA,98419J20
10334,8255,,CSFS,12803310
10335,8256,,SSSL,86687610
10336,8259,,OPERC,19259510
10337,8260,,PSSB,69670510
10338,9839,,APOL,03763010
10339,8262,,CBCB,12478620
10340,8263,,FGBI,32038510
10341,8264,,ABBK,00350P10
10342,8265,,IMDC,45323510
10343,8266,,,45662610
10344,8267,,LINN,53358010
10345,8269,,CRLY,22804210
10346,8270,,FUTR,44951820
10347,9659,,ASTI,03824310
10348,22185,,,02799090
10349,101,,AMFIA,00168310
10350,8273,,,58504010
10351,8274,,PCOR,74490110
10352,8276,,MRTA,56763410
10353,8275,,SXCL,85812220
10354,8277,,ICBI,45935610
10355,8278,DJCO,DJCO,23391210
10356,22186,,,02799190
10357,220,,,00171510
10358,8279,,,00204W10
10359,9690,,MALLE,05332D10
10360,9732,,AVDL,05435010
10361,8282,,ATOQE,03438510
10362,8283,,BUTLE,12364910
10363,8284,,AMAG,00163U10
10364,20220,,,04341310
10365,5554,,AMIS,00171910
10366,8285,,SBKSA,86437510
10367,8286,,HSLD,43731810
10368,8287,,TSBK,87669410
10369,8288,,WOBS,33759210
10370,8289,,SIBR,87113610
10371,8290,,CLZR,13690710
10372,22187,,,02971710
10373,7023,,AMSSC,00178510
10374,8291,,DMET,25385820
10375,8292,,TCF,87227510
10376,8293,,NSSX,63743410
10377,8294,,CLIFE,18690120
10378,8296,,OVABC,69013410
10379,8297,,IGEI,45991110
10380,22188,,,02999290
10381,3182,,NFCOC,00181210
10382,8299,ASTE,ASTE,04622410
10383,8300,,CYTO,23282430
10384,8301,,RUDY,78127810
10385,8303,,ATNN,00208L10
10386,8302,,AGIS,00760B10
10387,8304,,FLACE,33841H10
10388,8305,,TWK,G9032C10
10389,8306,,NEEC,63983510
10390,8308,,GHSI,36171710
10391,8309,,CFSL,15652410
10392,8310,,PWSB,71270810
10393,8311,,TDMK,88641210
10394,8313,,COSCB,22123420
10395,8314,,NAVG,63890410
10396,8315,,CPRC,20489610
10397,8317,WERN,WERN,95075510
10398,8318,,LEAF,45872920
10399,22189,,,02999390
10400,304,,,00185510
10401,20103,,T,00195750
10402,311,,APITS,00186410
10403,8320,,WOWIQ,98190210
10404,8321,,DINE,76155720
10405,8322,,IVMI,46590210
10406,8307,,DOSE,71713510
10407,8323,,ALET,02045410
10408,8213,,HELP,86390110
10409,8324,,DIET,02648910
10410,8326,,JMED,48023610
10411,8327,,RLAB,78090950
10412,8328,,GECM,37228210
10413,8329,,ROYL,78075910
10414,8330,,ELDC,28445210
10415,8332,,,67060L10
10416,8333,,BILT,59501010
10417,8335,,ALOY,01984710
10418,8336,,ASAA,00191230
10419,8337,,CRTV,22529040
10420,8338,,RDVA,75061010
10421,8340,SKYW,SKYW,83087910
10422,8339,,AILP,02108910
10423,8342,,SUND,83606610
10424,8344,,CLEV,18679810
10425,8345,,RBCO,78348310
10426,8346,,,79772H10
10427,8348,,FILME,13961710
10428,20067,,,03023190
10429,5118,,ASKI,00190310
10430,8350,,CPSIA,12591310
