PERMNO,PERMCO,HTICK,HTSYMBOL,CUSIP
17156,56162,,STNL,81728P10
17157,56182,TRMD,TRMD,G8947910
17160,22751,,,41177410
17161,679,,BSIN,07028410
17178,56190,CURO,CURO,23131L10
17179,22752,,,42099090
17180,6847,,BAUK,07165310
17181,54066,,USAI,26922A55
17182,56191,,FTNW,30283R40
17183,55959,HIPS,HIPS,38747R30
17184,55873,HMOP,HMOP,41653L50
17185,55239,,LDRS,45782C20
17186,54917,,JPMF,46641Q82
17187,23057,,,58199190
17188,450,,BAYA,31381510
17189,54917,,JPED,46641Q86
17190,55779,LSST,LSST,63873X20
17191,39147,FITE,FITE,78468R67
17192,39147,HAIL,HAIL,78468R68
17193,39147,SIMS,SIMS,78468R69
17194,55017,,BUY,90290T60
17195,22754,,,65999090
17196,461,,BBNK,07272310
17197,55017,,BUYN,90290T70
17198,50852,,WBAL,97717Y81
17199,50852,,WCHN,97717Y83
17200,54204,LXFR,LXFR,G5698W11
17201,56115,VVNT,VVNT,92854210
17202,56195,,PIA,46133E10
17203,56196,,OIC,46133C10
17204,56197,,OIB,46133A10
17205,56198,OIA,OIA,46132X10
17206,56199,,IIC,46130L10
17207,56200,,IQN,46133F10
17208,22755,,,90599090
17209,453,,BAY,07273030
17210,56201,,IQM,46133J10
17211,56202,,IQC,46130M10
17212,56203,,IQT,46133H10
17213,56204,IQI,IQI,46133G10
17214,56205,IIM,IIM,46132P10
17215,56206,,IMC,46130Y10
17216,22756,,,95199090
17217,452,,BAYM,07279710
17218,56207,,ICS,46130W10
17219,56208,,IMS,46132T10
17220,56209,,IMT,46132W10
17221,56210,LBRT,LBRT,53115L10
17222,56211,ILPT,ILPT,45623710
17223,56212,ADT,ADT,00090Q10
17224,22757,,,00628410
17225,451,,BAYLQ,07286910
17226,56213,COLD,COLD,03064D10
17227,56214,GTES,GTES,G3910810
17228,56215,KORP,KORP,02507210
17229,56215,VALQ,VALQ,02507220
17230,55546,BLOK,BLOK,03210860
17231,55073,,DOGS,04276569
17232,22758,,,00864410
17233,5779,,BYOU,07304710
17234,56216,AVYA,AVYA,05351X10
17235,53807,HYUP,HYUP,23305125
17236,53807,HYDW,HYDW,23305126
17237,53807,SHYL,SHYL,23305128
17238,53297,KOIN,KOIN,30150576
17239,54446,,PRID,30151E84
17240,22759,,,03304710
17241,454,,BAYS,07317010
17242,54446,,HONR,30151E85
17243,54581,FIVA,FIVA,31609271
17244,54581,FIDI,FIDI,31609272
17245,56192,KLR,KLR,48337910
17246,56218,PLTM,PLTM,38748T10
17247,54917,JPMB,JPMB,46641Q74
17248,54917,,JPLS,46641Q81
17249,54464,KARS,KARS,50076782
17250,56219,LAC,LAC,53680Q20
17251,56220,NINE,NINE,65441V10
17252,56221,AGS,AGS,72814N10
17253,56222,CEF,CEF,85208R10
17254,56224,PAGS,PAGS,G6870710
17255,56194,,RWGE,G7476010
17256,56226,,ARMO,04225U10
17257,55136,,BLCN,75605A70
17258,56227,,CLGN,19516R10
17259,22760,,,57199290
17260,455,,,07327510
17262,56229,CUE,CUE,22978P10
17263,56231,EYEN,EYEN,30234E10
17264,54107,HNDL,HNDL,86280R50
17265,54165,LEGR,LEGR,33741X20
17266,56233,VYNE,VYNE,92941V20
17267,22761,,,71582410
17268,620,,BPHO,07367510
17269,56236,NMRD,NMRD,64044220
17270,56237,REKR,REKR,75941910
17271,56238,SLDB,SLDB,83422E10
17272,56239,ACET,ACET,00700210
17273,56240,FTSI,FTSI,30283W30
17275,22762,,,73999090
17276,22763,,,07368010
17277,56246,,,89407610
17278,56247,,,05349F10
17279,56249,,LO,54414710
17281,56251,WHD,WHD,12720310
17282,56252,,FVL,33735D10
17283,22764,,,78099090
17284,5709,,BECO,07377910
17285,56253,,FVD,33735A10
17286,56254,CEPU,CEPU,15503820
17287,56255,BRSP,BRSP,10949T10
17288,53101,,PPTB,25460E57
17289,53101,,PPDM,25460E59
17290,53101,,PPEM,25460E61
17291,22765,,,78651410
17292,472,,BCRK,07379910
17293,53101,,PPMC,25460E63
17294,54066,VSL,VSL,26922A49
17295,54066,,RENW,26922A52
17296,53297,EKAR,EKAR,30150575
17297,55598,FLAX,FLAX,35473P66
17298,55598,FLSW,FLSW,35473P69
17299,55598,FLRU,FLRU,35473P72
17300,55598,FLIN,FLIN,35473P76
17301,56256,ZEPP,ZEPP,98945L10
17302,54464,KURE,KURE,50076783
17303,56257,IDIV,IDIV,59140L10
17304,22766,,,01951910
17305,56257,,XDIV,59140L20
17306,56258,,QES,74875T10
17307,56259,VICI,VICI,92565210
17308,56260,,HUD,G4640810
17309,56223,PACK,PACK,75321W10
17310,56263,CAAP,CAAP,L1995B10
17311,56264,BFRA,BFRA,09075G10
17312,22767,,,15199090
17313,56265,BLNK,BLNK,09354A10
17315,56267,CDLX,CDLX,14161W10
17316,56268,CRON,CRON,22717L10
17317,56270,EOLS,EOLS,30052C10
17318,56271,FAMI,FAMI,G3327710
17320,22768,,,17859410
17321,571,,,07526910
17322,56272,,IPIC,46263D10
17323,56273,LVO,LVO,53814X10
17324,56274,NXTP,NXTP,65344G10
17325,56275,MOTS,MOTS,62014P10
17326,56234,KERN,KERN,00973W10
17327,56277,OSS,OSS,68247W10
17328,54165,ROBT,ROBT,33738R72
17330,56278,SLGL,SLGL,M8694L10
17331,56279,,YGTY,G8406F11
17332,56280,VCTR,VCTR,92645B10
17334,9914,,GLIBA,36164V30
17337,56283,,WHX,92924840
17338,56284,,,15100910
17339,22769,,,26605710
17340,56285,,,88673510
17341,56287,ZS,ZS,98980G10
17342,56288,DBX,DBX,26210C10
17343,56289,RDVT,RDVT,75704L10
17344,56307,RFL,RFL,75062E10
17345,56290,AIHS,AIHS,81722510
17346,56291,BILI,BILI,09004010
17347,22770,,,57335010
17348,434,,BACO,07557210
17349,56292,BTAI,BTAI,09075P10
17350,56293,BWB,BWB,10862110
17351,56294,COCP,COCP,19188J30
17353,55848,DINT,DINT,23908L40
17354,56295,BTBT,BTBT,G1144A10
17355,22771,,,72499090
17356,482,,BEDF,07603710
17357,56230,TH,TH,87615L10
17358,56296,FIXX,FIXX,43808310
17359,56297,FNCB,FNCB,30257810
17360,56298,GNPX,GNPX,37244610
17361,56232,HOFV,HOFV,40619L10
17362,56299,IQ,IQ,46267X10
17363,22772,,,73999190
17364,507,,BECHY,07679740
17365,56300,LAZY,LAZY,52110H10
17366,56276,HYMC,HYMC,44862P10
17367,56235,LPRO,LPRO,68373J10
17368,56301,OPBK,OPBK,67109R10
17369,56302,BFI,BFI,12122L10
17370,56303,ORGS,ORGS,68619K20
17371,22773,,,76799090
17372,56305,COGT,COGT,19240Q20
17373,56306,VTSI,VTSI,92827K30
17374,56308,RCUS,RCUS,03969F10
17375,54066,PPTY,PPTY,26922A51
17376,54066,,MXDE,26922A64
17377,55180,BDRY,BDRY,26923H20
17378,56311,GHG,GHG,39579V10
17379,56312,ONE,ONE,68276W10
17380,56313,STG,STG,86740P20
17381,56262,BIOX,BIOX,G1117K11
17382,56314,ZUO,ZUO,98983V10
17383,53005,DTEC,DTEC,00162Q47
17384,55002,PRNT,PRNT,00214Q50
17385,55002,IZRL,IZRL,00214Q60
17386,56315,,GOP,00509T10
17387,56315,,DEMS,00509T20
17388,56315,,PLCY,53656F10
17389,56316,QVAL,QVAL,02072L10
17390,56316,IVAL,IVAL,02072L20
17391,56316,IMOM,IMOM,02072L30
17392,56316,QMOM,QMOM,02072L40
17393,56316,VMOT,VMOT,02072L50
17394,55546,,YESR,03210830
17395,55546,DIVO,DIVO,03210840
17396,55546,,AMLX,03210850
17397,55073,ARCM,ARCM,04276571
17398,22774,,,89499290
17399,562,,BLNE,07709710
17400,22775,,,01717610
17401,483,,BEEP,07712110
17402,56317,,BATS,05491G10
17406,54386,EYLD,EYLD,13206170
17407,54386,TAIL,TAIL,13206186
17408,53807,,IFIX,23305146
17409,53807,,IGVT,23305147
17410,54066,,MSUS,26922A48
17411,54066,,KNG,26922A53
17412,54066,MAGA,MAGA,26922A62
17413,54066,TCTL,TCTL,26922A76
17414,54066,,ACSI,26922A77
17415,54066,ADME,ADME,26922A78
17416,55267,,ELKU,28771120
17417,55267,,EPRF,45783G20
17418,55267,,XD,28771160
17419,22776,,,02648310
17420,504,,BGLY,07722110
17421,55267,,XS,28771170
17422,55267,,BUFF,45783G10
17423,55267,,XE,28771180
17424,55267,,RCOM,28771182
17425,55267,,XU,28771183
17426,55267,,XM,28771184
17427,22777,,,22799190
17428,484,,BEKN,07727510
17429,55267,,XK,28771185
17430,55267,,XI,28771186
17431,55267,,XH,28771187
17432,55267,,XF,28771188
17433,53297,,BRGL,30150578
17434,53297,,BERN,30150579
17435,22778,,,29920910
17436,22779,,,07727910
17437,53297,,VMIN,30150583
17438,53297,,VMAX,30150577
17439,54446,,ARVR,30151E70
17440,54446,CEFS,CEFS,30151E80
17441,54446,,JPBI,30151E86
17442,54446,,FANZ,30151E88
17443,21074,,,52481610
17444,6653,BELFA,BELFA,07734720
17445,55598,FLQL,FLQL,35473P80
17446,55598,FLQS,FLQS,35473P87
17447,55598,FLQM,FLQM,35473P88
17448,53120,,LOGO,37954Y64
17449,53120,PFFD,PFFD,37954Y65
17450,53120,PAVE,PAVE,37954Y67
17451,22780,,,53599090
17452,22781,,,07743710
17453,53120,BOSS,BOSS,37954Y68
17454,55415,GSEW,GSEW,38143043
17455,54681,,USDY,44053G88
17456,31600,GHYG,GHYG,46428617
17457,31600,CEMB,CEMB,46428625
17458,37493,,HACV,46428911
17459,37493,EFNL,EFNL,46429B51
17460,37493,EDEN,EDEN,46429B52
17461,54364,NEAR,NEAR,46431W50
17462,54364,IEIH,IEIH,46431W62
17463,54364,IEME,IEME,46431W63
17464,54364,IETC,IETC,46431W64
17465,54364,IEFN,IEFN,46431W65
17466,54364,IEDI,IEDI,46431W66
17467,54364,IECS,IECS,46431W67
17468,54364,IEHS,IEHS,46431W68
17469,54364,MEAR,MEAR,46431W83
17470,54364,,FIBR,46431W84
17471,37493,,QLTB,46432F10
17472,37493,,QLTC,46432F40
17473,37493,IYLD,IYLD,46432F87
17474,31600,,EMHZ,46434G60
17475,31600,,HEMV,46434G87
17476,31600,EMGF,EMGF,46434G88
17477,37493,CNYA,CNYA,46434V51
17478,21179,SPGI,SPGI,78409V10
17479,37493,ICSH,ICSH,46434V87
17480,37493,ICVT,ICVT,46435G10
17481,37493,,LLQD,46435G14
17482,37493,,MLQD,46435G15
17483,37493,IGEB,IGEB,46435G21
17484,37493,HYDB,HYDB,46435G25
17485,37493,SMMD,SMMD,46435G26
17486,22782,,,84799190
17487,486,,BELP,07783310
17488,37493,AGT,AGT,46435G27
17489,37493,IBML,IBML,46435G31
17490,37493,SMMV,SMMV,46435G43
17491,37493,IGRO,IGRO,46435G52
17492,37493,,TCHF,46435G54
17493,37493,,INDF,46435G55
17494,22783,,,96899190
17495,560,,BLLQE,07784210
17496,37493,,HCRF,46435G56
17497,37493,,MATF,46435G57
17498,37493,,FNCF,46435G58
17499,37493,,ERGF,46435G59
17500,37493,,CNSF,46435G61
17501,37493,,CNDF,46435G62
17502,37493,,UTLF,46435G63
17503,37493,,DEWJ,46435G64
17504,37493,,DEFA,46435G65
17505,37493,,DEZU,46435G66
17506,37493,IAGG,IAGG,46435G67
17507,22784,,,16882610
17508,5185,,BELLE,07814210
17509,37493,,HEUS,46435G68
17510,37493,,HEUV,46435G69
17511,37493,,HEFV,46435G71
17512,37493,ESML,ESML,46435U66
17513,37493,IBMM,IBMM,46435U69
17514,37493,IFRA,IFRA,46435U71
17515,22785,,,23154310
17516,624,,BPSIQ,07814410
17517,37493,USHY,USHY,46435U85
17518,37493,DIVB,DIVB,46435U86
17519,54917,JPST,JPST,46641Q83
17520,54917,JPIB,JPIB,46641Q85
17521,54917,JPHY,JPHY,46641Q87
17522,54464,KALL,KALL,50076780
17523,21648,,SPA,84723510
17524,55186,RODE,RODE,51841660
17525,55186,,LVUS,51841670
17526,55505,LVHI,LVHI,52468L50
17527,55505,,LVHE,52468L60
17528,55875,EBLU,EBLU,56167N75
17529,55860,,GUDB,66538H58
17530,55860,SECT,SECT,66538H59
17531,22786,,,00999090
17532,712,,,07819320
17533,55860,FFTI,FFTI,66538H66
17534,55860,FFHG,FFHG,66538H67
17535,55860,,QXRR,66538H68
17536,55860,,XUSA,66538H69
17537,55860,,QXTR,66538H71
17538,55860,,QXMI,66538H72
17539,55860,,QXGG,66538H73
17540,55709,NULG,NULG,67092P20
17541,55709,NULV,NULV,67092P30
17542,55709,NUMG,NUMG,67092P40
17543,55709,NUMV,NUMV,67092P50
17544,55709,NUSC,NUSC,67092P60
17545,55709,NURE,NURE,67092P70
17546,55709,NUDM,NUDM,67092P80
17547,55709,NUEM,NUEM,67092P88
17548,52963,,OMFS,68386C11
17549,52963,,OVLU,68386C65
17550,52963,,OVOL,68386C66
17551,52963,,OQAL,68386C67
17552,52963,,OMOM,68386C68
17553,52963,,OSIZ,68386C69
17554,52963,,OYLD,68386C71
17555,52963,,OMFL,68386C72
17556,52963,,REFA,68386C75
17557,52963,,RGLB,68386C76
17558,22787,,,03009510
17559,487,,MSSN,60510910
17560,52963,,REEM,68386C86
17561,56319,PTLC,PTLC,69374H10
17562,56319,PTMC,PTMC,69374H20
17563,56319,PTNQ,PTNQ,69374H30
17564,56319,,PAEU,69374H50
17565,56319,GCOW,GCOW,69374H70
17566,20214,,,04217010
17567,561,,,08038720
17568,56319,PWS,PWS,69374H84
17569,56319,CALF,CALF,69374H85
17570,56319,ICOW,ICOW,69374H87
17571,56319,COWZ,COWZ,69374H88
17572,52998,PSMG,PSMG,46090A40
17573,52998,PSMB,PSMB,46090A20
17574,22788,,,04599090
17575,52998,PSMM,PSMM,46090A50
17576,52998,PSMC,PSMC,46090A30
17577,52902,PBTP,PBTP,46138E49
17578,52902,PBDM,PBDM,46138E48
17579,52902,PBSM,PBSM,46138E45
17580,52902,PBUS,PBUS,46138E46
17581,52902,SPMV,SPMV,46138E34
17582,22789,,,09799090
17583,52902,USEQ,USEQ,46138E43
17584,52902,XSHQ,XSHQ,46138G30
17585,52902,,SPVM,46138E31
17586,52902,IDHD,IDHD,46138E24
17587,52902,XSHD,XSHD,46138E13
17588,55378,,GDVD,74255Y70
17589,55378,PREF,PREF,74255Y88
17590,22790,,,09972510
17591,50846,OILK,OILK,74347G80
17592,50846,FUT,FUT,74347B53
17593,50846,IGHG,IGHG,74347B60
17594,50846,EMSH,EMSH,74347B70
17595,50846,EMDV,EMDV,74347B84
17596,50846,,WYDE,74347B87
17597,50846,,TYTE,74347B88
17598,50846,PEX,PEX,74348A53
17599,50846,HYHG,HYHG,74348A54
17600,50846,MRGR,MRGR,74348A56
17601,56320,TMFC,TMFC,74933W60
17602,55136,,LEAD,75605A40
17603,22791,,,18599090
17604,5986,,BENQE,08152510
17605,55136,,DFND,75605A50
17606,55136,,GARD,75605A60
17607,56321,STOT,STOT,78470P20
17608,56321,EMTL,EMTL,78470P30
17609,56322,,CWAI,86341810
17610,55336,TTAC,TTAC,89628W30
17611,22792,,,25750710
17612,6706,,SOFA,08159010
17613,55336,TTAI,TTAI,89628W40
17614,56323,DALT,DALT,90213U11
17615,56323,WLDR,WLDR,90214Q10
17618,50699,,ITMS,92189F31
17619,50699,,ITML,92189F32
17620,56325,VFLQ,VFLQ,92193530
17621,56325,VFMV,VFMV,92193540
17622,56325,VFMO,VFMO,92193550
17623,56325,VFMF,VFMF,92193560
17624,56325,VFQY,VFQY,92193570
17625,56325,VFVA,VFVA,92193580
17626,50852,IQDG,IQDG,97717X13
17627,50852,,SFHY,97717X14
17628,50852,SFIG,SFIG,97717X15
17629,50852,WFHY,WFHY,97717X17
17630,50852,WFIG,WFIG,97717X19
17631,50852,RESE,RESE,97717X21
17632,50852,,EUMF,97717X25
17633,50852,DDWM,DDWM,97717X26
17634,50852,DDLS,DDLS,97717X27
17635,50852,,JNMF,97717X28
17636,50852,,DYB,97717X29
17637,50852,,DYLS,97717X31
17638,50852,,EDOM,97717X38
17639,489,,BENEE,08171010
17640,50852,,HDRW,97717X39
17641,50852,,HGSD,97717X42
17642,50852,,GSD,97717X44
17643,50852,,EMSD,97717X48
17644,50852,RESD,RESD,97717Y70
17645,50852,SHAG,SHAG,97717Y80
17646,22793,,,76140610
17647,488,,,08173410
17648,50852,,RPUT,97717Y84
17649,50852,USMF,USMF,97717Y85
17650,56319,PTEU,PTEU,69374H80
17651,54066,,FTVA,26922A61
17652,54066,,RVRS,26922A68
17653,31600,HYXU,HYXU,46428621
17654,22794,,,77499090
17655,502,,BGAL,08184220
17656,31600,EMHY,EMHY,46428628
17657,37493,INDA,INDA,46429B59
17658,37493,SMIN,SMIN,46429B61
17659,55860,FFSG,FFSG,66538H56
17660,55860,FFTG,FFTG,66538H57
17661,37493,,EWAS,46429B48
17662,23122,,,84699090
17663,456,,,08186410
17664,37493,,EWCS,46429B47
17665,37493,EWGS,EWGS,46429B46
17666,37493,EWUS,EWUS,46429B41
17667,37493,ENOR,ENOR,46429B49
17668,52902,PBND,PBND,46138E44
17669,52902,PBEE,PBEE,46138E47
17670,74,,ADSO,02342410
17671,5977,,BNHN,08204710
17672,30940,EAF,EAF,38431350
17673,56328,,PVTL,72582H10
17674,37493,FIBR,FIBR,46435U79
17676,56329,NVT,NVT,G6700G10
17677,4255,BHA,BHA,08986R40
17678,56330,AGMH,AGMH,G0132V10
17679,56331,BFST,BFST,12326C10
17680,56332,RENO,RENO,09074B10
17683,56334,CLBK,CLBK,19764110
17684,56269,AHCO,AHCO,00653Q10
17685,56335,DOCU,DOCU,25616310
17686,53120,DRIV,DRIV,37954Y62
17688,56337,GSHD,GSHD,38267D10
17689,22796,,,03299290
17690,56338,HSDT,HSDT,42328V60
17691,56339,LASR,LASR,65487K10
17692,56340,LEVL,LEVL,52730D20
17693,56341,MOGO,MOGO,60800C10
17694,56342,MOR,MOR,61776020
17695,56344,SURF,SURF,86877M20
17696,56304,IGIC,IGIC,G4809J10
17697,22797,,,05099090
17698,490,,BENT,08217610
17699,56319,,VETS,69374H83
17700,56345,CDAY,CDAY,15677J10
17701,56346,SMAR,SMAR,83200N10
17702,53807,QARP,QARP,23305124
17703,53101,UBOT,UBOT,25460G82
17704,55873,HTAB,HTAB,41653L40
17705,54364,CMDY,CMDY,46431W59
17706,56348,PULS,PULS,69344A10
17707,52998,GTO,GTO,46090A80
17708,52998,GSY,GSY,46090A88
17709,52902,,EWEM,46138E55
17710,52902,CGW,CGW,46138E26
17711,52902,,YAO,46138E50
17712,52902,,SEA,46138G60
17713,52902,CUT,CUT,46138E54
17714,52902,,HGI,46138G85
17715,52902,,FRN,46138E77
17716,52902,,TAO,46138E60
17717,52902,,LVL,46138E27
17718,22798,,,12099090
17719,688,,,08264710
17720,44072,DJD,DJD,46137V60
17721,44072,,NFO,46137V55
17722,44072,CZA,CZA,46137Y40
17723,44072,RZV,RZV,46137V16
17724,44072,RZG,RZG,46137V17
17725,44072,EWSC,EWSC,46137V18
17726,20537,CCK,CCK,22836810
17727,22799,,,08385110
17728,44072,RFV,RFV,46137V19
17729,44072,RFG,RFG,46137V21
17730,44072,EWMC,EWMC,46137V22
17731,44072,XLG,XLG,46137V23
17732,44072,CVY,CVY,46137Y50
17733,44072,RPV,RPV,46137V25
17734,22800,,,36924410
17735,618,,,08409510
17736,44072,RPG,RPG,46137V26
17737,44072,RYU,RYU,46137V27
17738,44072,RYT,RYT,46137V28
17739,44072,EWRE,EWRE,46137V29
17740,44072,RTM,RTM,46137V31
17741,44072,RGI,RGI,46137V32
17742,22801,,,44148810
17743,544,WRB,WRB,08442310
17744,44072,RYH,RYH,46137V33
17745,44072,RYF,RYF,46137V34
17746,44072,RSP,RSP,46137V35
17747,44072,RYE,RYE,46137V36
17748,44072,RHS,RHS,46137V37
17749,44072,RCD,RCD,46137V38
17750,21055,KMB,KMB,49436810
17751,492,,BERK,08450010
17752,44072,,OEW,46137V41
17753,44072,,WMCR,46137Y10
17754,44072,CSD,CSD,46137V15
17755,56349,,BSCI,46138J10
17756,56349,,BSJI,46138J20
17757,56349,,BSCJ,46138J30
17758,56349,,BSJJ,46138J40
17759,56349,,BSCK,46138J50
17760,56349,,BSJK,46138J60
17761,56349,,BSCL,46138J70
17762,56349,,GMFL,46138J76
17763,56349,,OVLC,46138J75
17764,56349,DEF,DEF,46138J77
17765,56349,BSCR,BSCR,46138J78
17766,56349,BSCQ,BSCQ,46138J79
17767,56349,,BSJL,46138J80
17768,56349,BSCP,BSCP,46138J82
17769,22802,,,59499090
17770,503,,BERK,08464410
17771,56349,BSJO,BSJO,46138J83
17772,56349,BSCO,BSCO,46138J84
17773,56349,BSJN,BSJN,46138J85
17774,56349,BSCN,BSCN,46138J86
17775,56349,BSJM,BSJM,46138J87
17776,56349,BSCM,BSCM,46138J88
17777,22803,,,61799090
17778,540,BRKA,BRKA,08467010
17779,55378,IG,IG,74255Y82
17780,50699,RAAX,RAAX,92189F13
17781,56261,DMS,DMS,25401G10
17782,56350,SPOT,SPOT,L8681T10
17783,56347,CHX,CHX,15872M10
17784,56351,,CBLK,14081R10
17785,22804,,,63299090
17786,672,,,08528010
17787,56352,EQH,EQH,29452E10
17788,56353,,PS,72941B10
17789,56354,CPLG,CPLG,21872L10
17790,56355,EVOP,EVOP,26927E10
17791,56356,,SMTA,84861U10
17792,56357,,PRSP,71534710
17793,22805,,,65399090
17794,56358,WH,WH,98311A10
17795,56359,GSKY,GSKY,39572G10
17796,56360,,CVIA,22305A10
17797,56361,EDRY,EDRY,Y2350810
17798,56362,,FCBP,31948P10
17799,56363,INSP,INSP,45773010
17800,56364,BCML,BCML,07272M10
17801,56365,ROAD,ROAD,21044C10
17802,56366,STXB,STXB,84861D10
17803,56367,JRSH,JRSH,47632P10
17805,53120,AIQ,AIQ,37954Y63
17806,22806,,PD,71726510
17807,493,,,08633820
17808,56369,ASLN,ASLN,04522R10
17809,56370,CLPS,CLPS,G3164210
17810,54165,DALI,DALI,33738R71
17811,56371,EVLO,EVLO,29973410
17812,56372,EXPI,EXPI,30212W10
17813,56373,NVNO,NVNO,29415J10
17814,22807,,,81978510
17815,496,,,08777910
17816,56374,ITRM,ITRM,G6333L10
17817,56375,KNSA,KNSA,G5269C10
17818,56376,OBNK,OBNK,68621T10
17819,56343,,PACQ,74621Q10
17820,56377,,PLL,72016210
17821,56378,SRRK,SRRK,80706P10
17822,22808,,,87114010
17823,464,,,08782410
17824,56380,,TMCX,89653L10
17825,56381,UBX,UBX,91381U10
17826,56383,BBIG,BBIG,92733010
17827,56384,CGC,CGC,13803510
17828,55045,PFFA,PFFA,26923G82
17829,54446,,BKC,30151E82
17830,21832,RTX,RTX,75513E10
17831,497,,BEVM,08782710
17832,56386,HUYA,HUYA,44852D10
17833,56319,SRVR,SRVR,69374H74
17834,56319,INDS,INDS,69374H76
17835,56319,,RTL,69374H78
17836,56387,PRT,PRT,71425410
17837,52902,TAN,TAN,46138G70
17838,52902,,GHII,46138E25
17839,52902,CQQQ,CQQQ,46138E80
17840,52902,,HAO,46138E70
17841,52902,,ENY,46138E30
17842,44072,,EEB,46137V20
17843,44072,RYJ,RYJ,46137V52
17844,44072,,WREI,46137Y20
17845,56349,BSJP,BSJP,46138J81
17846,50846,SPXB,SPXB,74347B31
17847,55017,SDCI,SDCI,90290T80
17848,56388,,VAM,92853C20
17849,22809,,,91011010
17850,512,,BHSL,08808410
17851,54364,LQDI,LQDI,46431W58
17852,54066,,SLT,26922A47
17853,55873,HSRT,HSRT,41653L60
17854,56389,NAKD,NAKD,Q6519V12
17855,56390,AVLR,AVLR,05338G10
17856,54446,HYLD,HYLD,30151E81
17857,22810,,,96199290
17858,22811,,,08822110
17859,56392,VNE,VNE,92336X10
17860,56393,RVI,RVI,76133Q10
17861,55817,,OASI,67110P60
17862,55817,OEUR,OEUR,67110P50
17863,55817,OUSA,OUSA,67110P40
17864,56394,BJ,BJ,05550J10
17865,22812,,,38731610
17866,520,,,08861010
17867,56395,BV,BV,10948C10
17868,56396,APTX,APTX,03836N10
17869,56397,AADI,AADI,00032Q10
17870,56398,AUTL,AUTL,05280R10
17871,56399,AVRO,AVRO,05455M10
17872,55136,,BCNA,75605A80
17873,22813,,,39429810
17874,514,,BIBB,08866510
17875,56400,HQI,HQI,43353510
17876,56401,DOMO,DOMO,25755410
17877,56402,ECOR,ECOR,28531P10
17878,56403,,EIDX,28249H10
17879,56404,ENTX,ENTX,M4052710
17880,56405,EVER,EVER,30041R10
17881,22814,,,61999190
17882,517,,BIFL,08886410
17883,56406,,FTSV,34983P10
17884,56407,GRIN,GRIN,Y2889510
17885,56408,GRNQ,GRNQ,39540F10
17886,56410,HYRE,HYRE,44916T10
17887,56411,IIIV,IIIV,46571Y10
17888,56412,IMV,IMV,44974L10
17889,56413,KZR,KZR,49372L10
17890,56414,LSEA,LSEA,51509P10
17891,56415,LOVE,LOVE,54738L10
17892,56416,MGTA,MGTA,55910K10
17893,56417,MGTX,MGTX,G5966510
17894,56418,,NTGN,64050Y10
17895,56419,OPRX,OPRX,68401U20
17898,56420,STIM,STIM,64131A10
17899,56421,,TBIO,89374L10
17900,56423,TCDA,TCDA,89610F10
17901,56379,LTRY,LTRY,54570M10
17902,21429,,,73620210
17903,518,,BIGB,08889110
17904,56424,TMDI,TMDI,88830X81
17905,56426,UXIN,UXIN,91818X10
17906,56427,VRCA,VRCA,92511W10
17907,56382,NKLA,NKLA,65411010
17908,56428,XERS,XERS,98422E10
17910,22815,,,86901920
17911,5573,,PAGZ,69553710
17912,53005,ACES,ACES,00162Q46
17913,53480,AMBO,AMBO,02322P20
17914,55546,,EASI,03210870
17915,55546,BATT,BATT,03210880
17916,56429,CHRA,CHRA,15957P10
17917,54066,AIIQ,AIIQ,26922A46
17918,54260,,BIKR,26924G79
17919,56430,EPRT,EPRT,29670E10
17920,56431,GB,GB,H3370010
17921,54581,FDHY,FDHY,31609261
17922,55049,FLDR,FLDR,31618840
17923,55693,UCON,UCON,33740F88
17924,55598,FLBL,FLBL,35473P59
17925,55598,FLIA,FLIA,35473P61
17926,55598,FLHY,FLHY,35473P62
17927,55415,JUST,JUST,38143039
17928,54364,IAUF,IAUF,46431W61
17929,21794,UGI,UGI,90268110
17930,6265,,BGBR,08900910
17931,37493,IRBO,IRBO,46435U55
17932,54917,BBJP,BBJP,46641Q21
17933,54917,BBEU,BBEU,46641Q19
17934,54917,BBRE,BBRE,46641Q73
17935,54464,KHYB,KHYB,50076784
17936,55817,OGIG,OGIG,67110P70
17937,22816,,,90999190
17938,519,,,08913110
17939,56435,NEW,NEW,74704P10
17940,34957,XLC,XLC,81369Y85
17941,55846,GLDM,GLDM,98149E20
17942,56438,KDP,KDP,49271V10
17944,56441,TENB,TENB,88025T10
17945,22817,,,02571710
17946,622,,NEGX,63581210
17947,56440,RUBY,RUBY,78116T10
17948,56442,ALLK,ALLK,01671P10
17949,56445,BE,BE,09371210
17950,56444,FOCS,FOCS,34417P10
17951,56446,ADIL,ADIL,00688A10
17952,56447,AFIN,AFIN,02607T10
17953,22818,,,07407710
17954,516,,BIEN,09006410
17955,56449,AQST,AQST,03843E10
17956,56450,BRY,BRY,08579X10
17957,56451,CCB,CCB,19046P20
17958,56452,,CNST,21037310
17959,56453,CRNX,CRNX,22663K10
17960,53202,DWMC,DWMC,00768Y53
17961,20330,,BGG,10904310
17962,6314,,,09032410
17963,53202,DWSH,DWSH,00768Y52
17964,56454,ESTA,ESTA,G3124910
17966,56409,HTOO,HTOO,G3R25D11
17967,56456,JG,JG,05185710
17968,56457,LQDA,LQDA,53635D20
17969,56458,MSVB,MSVB,59548Q10
17970,56459,MYFW,MYFW,33751L10
17971,56460,OPRA,OPRA,68373M10
